STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Seestrasse;12;3855;Brienz BE;BE;46.750234610811766;8.049197482896219
Hausmattweg;24;3074;Muri b. Bern;BE;46.92439859463298;7.495037636501293
Spiezstrasse;11;3704;Krattigen;BE;46.658189283021365;7.720407713211012
Föhrenweg;95;3322;Mattstetten;BE;47.03221547890971;7.509199784164808
Schulweg;12;3283;Kallnach;BE;47.018384580449826;7.231661541324861
Bernstrasse;34e;3205;Gümmenen;BE;46.94460049256301;7.233405199346768
Sandmatten;20;3860;Meiringen;BE;46.723937736156586;8.19531890040766
Grafenscheuren;2;3400;Burgdorf;BE;47.075385079923166;7.637946495602264
Bözingenstrasse / Rue de Boujean;47f;2502;Biel/Bienne;BE;47.14808008607439;7.2563530423107
Rue de Pierre-Pertuis;11;2710;Tavannes;BE;47.21936303763164;7.197662636120583
Steghaltenstrasse;31a;3634;Thierachern;BE;46.74701726249474;7.573648264627227
Chemin des Faisans;5;2735;Malleray;BE;47.25875300638391;7.269383165492747
Farmweg;9b;3608;Thun;BE;46.73955074512994;7.588389109116504
Alpenstrasse;30a;3053;Lätti;BE;47.03944137873252;7.432025648838849
Eichholzweid;117;3625;Heiligenschwendi;BE;46.75075222201145;7.659431861084605
Halten;17c;3623;Teuffenthal b. Thun;BE;46.774427445091256;7.717544044692467
Rankmattweg;14;4900;Langenthal;BE;47.217670831258786;7.790268674268276
Schmidmatta;143h;3812;Wilderswil;BE;46.659466480468915;7.860578779483437
Hinterseestrasse;97;3782;Lauenen b. Gstaad;BE;46.39345249070885;7.337337661383014
Gässliweg;1;3272;Walperswil;BE;47.06072610099826;7.227732588858439
Mösliweg;10;3634;Thierachern;BE;46.75271891162078;7.56707929507782
Grundstrasse;56;3862;Innertkirchen;BE;46.701215986557685;8.226931898919267
Stockhornstrasse;20;3510;Konolfingen;BE;46.8763741999873;7.617312354464341
Obere Zollgasse;23;3072;Ostermundigen;BE;46.9554626368454;7.486911527304589
Längenbergstrasse;73;3132;Riggisberg;BE;46.820690578967614;7.476008170234745
Katzengässli;4d;3504;Niederhünigen;BE;46.87599874074998;7.632514657213339
Pilatusring;6;4922;Bützberg;BE;47.217501771852824;7.742081181074901
Riedmattenstrasse;51;2562;Port;BE;47.11289055847625;7.255353561739457
Lochweg;2c;3114;Wichtrach;BE;46.85103047084898;7.574077967852348
Zürich-Bernstrasse;22;3429;Hellsau;BE;47.14843485134591;7.6518766790876045
Suleggstrasse;13;3600;Thun;BE;46.7489585494087;7.620504118625226
Breitfeldstrasse;37a;3014;Bern;BE;46.959986527057374;7.457879871755144
Horben;17;3616;Schwarzenegg;BE;46.793228875195524;7.713436741099749
Ortschwabenstrasse;6;3043;Uettligen;BE;46.98743791740571;7.386669501765478
Lützelflühstrasse;26;3415;Rüegsauschachen;BE;47.01591458876266;7.659992917768358
Rue Principale;18;2613;Villeret;BE;47.158229325236235;7.018145981347432
Hübeliweg;4;3661;Uetendorf;BE;46.77100228629679;7.570906221848526
