type_search,street,price,object_type,living_area,construction_category,PLZ_only,Location,canton,BFS-Nr.,Region type,Haustiere erlaubt,Balkon,Terrasse,Kabel-TV,Rollstuhlgängig,Kinderfreundlich,Garage,Lift,Neubau,Keller,Reduit,Geschirrspüler,Steamer,Spielplatz,Eckhaus,Parkplatz,Aussicht,Minergie Bauweise,Minergie zertifiziert,Mittelhaus,Ruhige Lage,Waschmaschine,Rauchen erlaubt,Stromanschluss,Wasseranschluss,Abwasseranschluss,Cheminée,Altbau,Estrich,Swimmingpool,Bauland erschlossen,Mit Gartenhaus,Im Baurecht,Hochparterre,Gasanschluss,Tumbler,In Wohngemeinschaft,Hebebühne,Gedeckt,Anfahrrampe LKW,full_address,lat,long
haus,Dammweg 2,889476.9231,Reihenfamilienhaus,108.3333333,New Construction,5200,Brugg AG,Aargau,4112,4: Agglomerationsgürtelgemeinde,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dammweg 2 5200,47.48060824358853,8.199642185760244
haus,Rossweid 10,1111846.154,Einfamilienhaus,166.6666667,Old Buildings,5619,Büttikon AG,Aargau,4064,5: Mehrfach orientierte Gemeinde,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rossweid 10 5619,47.32959004832538,8.274911107772745
haus,Wiesenstrasse 41,1000661.538,Doppeleinfamilienhaus,166.6666667,Modern Buildings,5742,Kölliken,Aargau,4276,4: Agglomerationsgürtelgemeinde,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wiesenstrasse 41 5742,47.33235003208859,8.029076354637091
haus,Kirchenbreitestrasse 20,1187653.846,Einfamilienhaus,141.6666667,New Construction,5734,Reinach,Aargau,4141,1: Agglomerationskerngemeinde (Kernstadt),0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirchenbreitestrasse 20 5734,47.25750262436964,8.1860935798883
haus,Kirchenbreitestrasse 20,1187653.846,Einfamilienhaus,141.6666667,New Construction,5734,Reinach,Aargau,4141,1: Agglomerationskerngemeinde (Kernstadt),0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirchenbreitestrasse 20 5734,47.25750262436964,8.1860935798883
haus,Adelmattstrasse 1,1460561.538,Einfamilienhaus,158.3333333,New Construction,5242,Birr,Aargau,4092,5: Mehrfach orientierte Gemeinde,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelmattstrasse 1 5242,47.436450553493536,8.205692553121816
haus,Sonnenbergstrasse 1,1212923.077,Terrassenhaus,108.3333333,New Construction,5303,Würenlingen,Aargau,4047,5: Mehrfach orientierte Gemeinde,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sonnenbergstrasse 1 5303,47.53023985986551,8.26008631268586
haus,Büttikerstrasse 6,955176.9231,Reihenfamilienhaus,241.6666667,Old Buildings,5612,Villmergen,Aargau,4080,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Büttikerstrasse 6 5612,47.3430366274881,8.244658478112965
haus,Kieferstrasse 12,990553.8462,Einfamilienhaus,141.6666667,Old Buildings,4665,Oftringen,Aargau,4280,2: Agglomerationskerngemeinde (Hauptkern),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Kieferstrasse 12 4665,47.29676256991472,7.938617692837855
haus,Mellingerstrasse 39,833884.6154,Einfamilienhaus,141.6666667,Old Buildings,5607,Hägglingen,Aargau,4068,5: Mehrfach orientierte Gemeinde,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mellingerstrasse 39 5607,47.393889649905766,8.254103674270658
